source_set,dataset,folder_name,attack_type,attack_family,mode,mode_inferred,model_norm,poison_rate,train_param_value,test_param_type,test_param_value,target_label,poison_seed,delta,eps,f,upgd_steps,upgd_steps_multiplier,alpha,cover_rate,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
baseline,cifar10,SIG_0.005_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,28.0,test_delta,28.0,,2333,28.0,,6.0,,,,,0.8264289719296596,0.4820170215656412,0.407656,0.7391908800222439,2.1705520153045654,False,,
new,cifar10,SIG_0.005_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,28.0,test_delta,28.0,0,2333,28.0,,6.0,,,,,0.4753564457220747,0.26334212462993367,0.994062,0.9944390379535659,2.88242244720459,True,,
baseline,cifar10,SIG_0.005_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,36.0,test_delta,36.0,,2333,36.0,,6.0,,,,,0.5646230793916291,0.4756836893098424,0.486563,0.8935075768107883,1.7865824699401855,False,,
new,cifar10,SIG_0.005_delta=36_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,36.0,test_delta,36.0,0,2333,36.0,,6.0,,,,,0.6973846197473126,0.32368055986808975,0.992969,0.9958292784651744,4.177872657775879,True,,
baseline,cifar10,SIG_0.005_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,44.0,test_delta,44.0,,2333,44.0,,6.0,,,,,0.7762416530339084,0.3997770161376072,0.809688,0.9347977200055609,2.5238139629364014,True,,
new,cifar10,SIG_0.005_delta=44_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,44.0,test_delta,44.0,0,2333,44.0,,6.0,,,,,0.7567309085841695,0.37379175321459024,0.997656,0.9976365911302655,1.0743435621261597,False,,
baseline,cifar10,SIG_0.005_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.005,56.0,test_delta,56.0,,2333,56.0,,6.0,,,,,0.5770854664287794,0.3771299191843416,0.844844,0.9545391352704018,3.4714338779449463,True,,
new,cifar10,SIG_0.005_delta=56_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.005,56.0,test_delta,56.0,0,2333,56.0,,6.0,,,,,0.531288126740947,0.316318992713146,0.994844,0.998192687334909,1.5710369348526,False,,
baseline,cifar10,SIG_0.010_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,4.0,test_delta,4.0,,2333,4.0,,6.0,,,,,0.9246354166666667,0.5113223095778986,0.040938,0.00333657722786042,1.26068115234375,False,,
new,cifar10,SIG_0.010_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,4.0,test_delta,4.0,0,2333,4.0,,6.0,,,,,0.6971590909090909,0.40309687421126195,0.5275,0.6851105241206729,4.642479419708252,True,,
baseline,cifar10,SIG_0.010_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,12.0,test_delta,12.0,,2333,12.0,,6.0,,,,,0.8206269793666027,0.5078522324816925,0.196406,0.21729459196440984,1.8994616270065308,False,,
new,cifar10,SIG_0.010_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,all-to-one,False,resnet18,0.01,12.0,test_delta,12.0,0,2333,12.0,,6.0,,,,,0.5338216248590756,0.27735849792596157,0.944063,0.9865146670373974,2.7709062099456787,False,,
baseline,cifar10,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,SIG,sig,unknown,True,resnet18,0.01,20.0,test_delta,20.0,,2333,20.0,,6.0,,,,,0.860993320610687,0.4863404686253481,0.340781,0.4553037675517865,2.8160624504089355,True,,
