dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate
cifar10,vgg,102,1,basic,basic,0.05,0.4,test_alpha,0.4,0.14759778225806464,0.06780831550920374,0.992969,0.9998609759488392,
cifar10,vgg,103,1,basic,basic,0.05,0.5,test_alpha,0.5,0.14360561483386625,0.06835444198545959,0.999687,1.0,
cifar10,vgg,104,1,basic,basic,0.05,0.6,test_alpha,0.6,0.19739795634644786,0.08095843938686276,0.998906,1.0,
cifar10,vgg,105,1,basic,basic,0.05,0.7,test_alpha,0.7,0.1273416255387183,0.06930067233168913,0.998906,1.0,
cifar10,vgg,106,1,basic,basic,0.05,0.8,test_alpha,0.8,0.14848055835534546,0.06477141829939848,1.0,1.0,
cifar10,vgg,107,1,basic,basic,0.05,0.9,test_alpha,0.9,0.13459786424301412,0.051249746309186994,1.0,1.0,
cifar10,vgg,108,1,basic,basic,0.05,1.0,test_alpha,1.0,0.1298125,0.04578621488900536,1.0,1.0,
cifar10,vgg,109,1,belt,belt,0.01,0.05,test_mask_rate,0.05,0.5069837973571647,0.2728904920800421,0.745,0.9100514388989295,0.5
cifar10,vgg,110,1,belt,belt,0.01,0.1,test_mask_rate,0.1,0.4981447667804324,0.2613977882871519,0.839844,0.977617127763103,0.5
cifar10,vgg,111,1,belt,belt,0.01,0.15,test_mask_rate,0.15,0.48137442421189003,0.2656516799202231,0.791094,0.9658000834144307,0.5
cifar10,vgg,112,1,belt,belt,0.01,0.2,test_mask_rate,0.2,0.5500291346824843,0.291554947923956,0.841562,0.9961073265674962,0.5
cifar10,vgg,113,1,belt,belt,0.01,0.25,test_mask_rate,0.25,0.7653080070210982,0.4670959272269871,0.880469,0.9949951341582094,0.5
cifar10,vgg,114,1,belt,belt,0.01,0.3,test_mask_rate,0.3,0.5864842965699945,0.25033315130445344,0.82875,0.9970804949256221,0.5
cifar10,vgg,115,1,belt,belt,0.02,0.05,test_mask_rate,0.05,0.809851455479452,0.46914603627384033,0.812656,0.8119004587793688,0.5
cifar10,vgg,116,1,belt,belt,0.02,0.1,test_mask_rate,0.1,0.6381198136427566,0.6057454758572065,0.840313,0.9884610037536494,0.5
cifar10,vgg,117,1,belt,belt,0.02,0.15,test_mask_rate,0.15,0.48648220244716356,0.2633964247949808,0.9275,0.9998609759488392,0.5
cifar10,vgg,118,1,belt,belt,0.02,0.2,test_mask_rate,0.2,0.5972360990329763,0.30628213139118454,0.908906,0.9991658556930348,0.5
cifar10,vgg,119,1,belt,belt,0.02,0.25,test_mask_rate,0.25,0.5714279768524955,0.2865874999564286,0.938906,1.0,0.5
cifar10,vgg,120,1,belt,belt,0.02,0.3,test_mask_rate,0.3,0.5922421755526206,0.31110808697447945,0.959531,1.0,0.5
