dataset,arch,group_id,point_id,attack_type,trigger_type,poison_rate,train_param_value,test_param_type,test_param_value,stealth_tpr_avg,stealth_auc_avg,transfer_rate,asr,cover_rate,nc_max_anomaly_index,nc_is_poisoned,S_stealth,S_stealth_tpr
cifar10,resnet18,57,1,adaptive_blend,adaptive_blend,0.01,0.2,test_alpha,0.2,0.672101506204964,0.27828900183940175,0.808438,0.8682051994995135,0.01,1.4252961874008179,false,0.2226312014715214,0.5376812049639712
cifar10,resnet18,58,1,adaptive_blend,adaptive_blend,0.01,0.25,test_alpha,0.25,0.8069754550735864,0.4026804010200373,0.84,0.8974002502432921,0.01,1.7044007778167725,false,0.3221443208160299,0.6455803640588691
cifar10,resnet18,59,1,adaptive_blend,adaptive_blend,0.01,0.3,test_alpha,0.3,0.6042859916367981,0.31538900118501767,0.874219,0.9309050465730572,0.01,1.8850202560424805,false,0.2523112009480141,0.4834287933094385
cifar10,resnet18,60,1,adaptive_blend,adaptive_blend,0.05,0.01,test_alpha,0.01,0.8649433379120879,0.4646271966843052,0.105938,0.025163353260114,0.05,3.5635671615600586,false,0.37170175734744415,0.6919546703296704
cifar10,resnet18,61,1,adaptive_blend,adaptive_blend,0.05,0.05,test_alpha,0.05,0.7569355777522276,0.42740785356977384,0.399375,0.48380369803976087,0.05,1.7131489515304565,false,0.3419262828558191,0.6055484622017822
cifar10,resnet18,62,1,adaptive_blend,adaptive_blend,0.05,0.1,test_alpha,0.1,0.7145375257909217,0.3406380878010906,0.482187,0.6065619352147922,0.05,2.8365657329559326,true,0.2844123403958239,0.5835318907876889
cifar10,resnet18,63,1,adaptive_blend,adaptive_blend,0.05,0.15,test_alpha,0.15,0.717659956605593,0.29713140398627824,0.759844,0.7209787293201724,0.05,6.192278861999512,true,0.30223278060156106,0.6386556226970129
cifar10,resnet18,64,1,adaptive_blend,adaptive_blend,0.05,0.2,test_alpha,0.2,0.5655382593457944,0.23363260105128092,0.75375,0.7436396496593911,0.05,2.460522413253784,false,0.18690608084102475,0.45243060747663555
cifar10,resnet18,65,1,adaptive_blend,adaptive_blend,0.05,0.25,test_alpha,0.25,0.5407656051172515,0.2753975981734822,0.73375,0.7649103294870012,0.05,2.444650173187256,true,0.226073754404119,0.4383681599591344
cifar10,resnet18,66,1,adaptive_blend,adaptive_blend,0.05,0.3,test_alpha,0.3,0.5946803385416667,0.2955002910152824,0.8225,0.8541637703322675,0.05,1.7211384773254395,false,0.23640023281222594,0.47574427083333337
cifar10,resnet18,67,1,adaptive_patch,adaptive_patch,0.005,0.0,test_alpha,0.0,0.6265625677874187,0.3425086891613296,0.705781,0.32045043792576117,0.01,2.118845224380493,true,0.2746532089384149,0.5018963118392862
cifar10,resnet18,68,1,adaptive_patch,adaptive_patch,0.005,0.1,test_alpha,0.1,0.536189493887895,0.33362725860437425,0.759062,0.6995690254414013,0.01,8.394145965576172,true,0.36596012448847526,0.528009912715292
cifar10,resnet18,69,1,adaptive_patch,adaptive_patch,0.005,0.2,test_alpha,0.2,0.484531954887218,0.27221252218517633,0.645156,0.4990963436674545,0.01,7.317033767700195,true,0.2999365823342501,0.4697921284958834
cifar10,resnet18,70,1,adaptive_patch,adaptive_patch,0.005,0.3,test_alpha,0.3,0.5300541472416472,0.3519312596466465,0.541719,0.3575698595857083,0.01,2.3902652263641357,true,0.28644779463431996,0.4289461047103206
cifar10,resnet18,71,1,adaptive_patch,adaptive_patch,0.005,0.4,test_alpha,0.4,0.6409222840314136,0.3777938410712435,0.425312,0.26553593771722506,0.01,2.9141716957092285,true,0.31535399427012073,0.5258567486382569
cifar10,resnet18,72,1,adaptive_patch,adaptive_patch,0.01,0.0,test_alpha,0.0,0.6274892277560157,0.3299546481732447,0.176406,0.2482969553732796,0.02,2.244494915008545,false,0.2639637185385958,0.5019913822048125
cifar10,resnet18,73,1,adaptive_patch,adaptive_patch,0.01,0.1,test_alpha,0.1,0.6600831172199171,0.36891547817426207,0.110156,0.2680383706381204,0.02,4.049386501312256,true,0.3260542479331359,0.55898835916966
cifar10,resnet18,74,1,adaptive_patch,adaptive_patch,0.01,0.2,test_alpha,0.2,0.6304075919369575,0.37798423227291866,0.119375,0.3041846239399416,0.02,3.43424391746521,true,0.32366231134987955,0.5256009990811106
cifar10,resnet18,75,1,adaptive_patch,adaptive_patch,0.01,0.3,test_alpha,0.3,0.6655163214768123,0.41421187293792494,0.176719,0.30849436952592796,0.02,4.410798072814941,true,0.36795918090928126,0.5690027397403911
cifar10,resnet18,76,1,adaptive_patch,adaptive_patch,0.01,0.4,test_alpha,0.4,0.6548417008196722,0.42094108759176374,0.161875,0.27123592381482,0.02,3.052959680557251,true,0.3520483264535182,0.5391688170358448
cifar10,resnet18,77,1,adaptive_patch,adaptive_patch,0.05,0.0,test_alpha,0.0,0.5285569891418106,0.31457182281520835,0.368281,0.26567496176838595,0.1,1.4561485052108765,false,0.2516574582521667,0.4228455913134485
cifar10,resnet18,78,1,adaptive_patch,adaptive_patch,0.05,0.1,test_alpha,0.1,0.592941722972973,0.29012706608078576,0.360938,0.26734325038231616,0.1,1.9238015413284302,false,0.2321016528646286,0.47435337837837843
cifar10,resnet18,79,1,adaptive_patch,adaptive_patch,0.05,0.2,test_alpha,0.2,0.6241214375901876,0.323033633400021,0.235625,0.19282635896010009,0.1,2.3364784717559814,false,0.25842690672001684,0.4992971500721501
cifar10,resnet18,80,1,adaptive_patch,adaptive_patch,0.05,0.3,test_alpha,0.3,0.6079148971103328,0.3053991631018047,0.295156,0.23814819963853748,0.1,4.240011215209961,false,0.24431933048144377,0.4863319176882662
cifar10,resnet18,81,1,adaptive_patch,adaptive_patch,0.05,0.4,test_alpha,0.4,0.6124880564603692,0.28611114279356564,0.46,0.2560823022382872,0.1,1.8323771953582764,false,0.22888891423485253,0.4899904451682954
cifar10,resnet18,82,1,basic,basic,0.005,0.2,test_alpha,0.2,0.38287690797273266,0.22598781680191327,0.443437,0.703600722925066,,3.4983811378479004,true,0.20307100741709194,0.3285822803537475
cifar10,resnet18,83,1,basic,basic,0.005,0.3,test_alpha,0.3,0.13210470197978108,0.05573508217430201,0.887344,0.9901292923675796,,6.372916221618652,true,0.11194855864551898,0.17304425448990224
cifar10,resnet18,84,1,basic,basic,0.005,0.4,test_alpha,0.4,0.17409118688101555,0.06908370239854555,0.959688,0.9966634227721396,,5.870650291442871,true,0.11475069689844047,0.19875668448441647
cifar10,resnet18,85,1,basic,basic,0.005,0.5,test_alpha,0.5,0.17879503062360802,0.07651223358913739,0.995,0.9987487835395523,,6.7308759689331055,true,0.13418396389892573,0.21601020152650224
cifar10,resnet18,86,1,basic,basic,0.005,0.6,test_alpha,0.6,0.12761729505632036,0.046975753659610375,0.996406,0.9997219518976783,,2.432164192199707,true,0.043140468080399536,0.10765370119776752
