pair_id,dataset,model_norm,attack_family,poison_rate,target_label,mode,f,delta,eps,upgd_steps,upgd_steps_multiplier,folder_new,folder_baseline,stealth_tpr_avg_new,stealth_tpr_avg_baseline,stealth_tpr_avg_delta,stealth_auc_avg_new,stealth_auc_avg_baseline,stealth_auc_avg_delta,transfer_rate_new,transfer_rate_baseline,transfer_rate_delta,asr_new,asr_baseline,asr_delta,nc_max_anomaly_index_new,nc_max_anomaly_index_baseline,nc_max_anomaly_index_delta,S_stealth_new,S_stealth_baseline,S_stealth_delta,S_stealth_tpr_new,S_stealth_tpr_baseline,S_stealth_tpr_delta
cifar10|resnet18|sig|0.01|6.0|20.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,20.0,,,,SIG_0.010_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5339562395236765,0.860993320610687,-0.32703708108701046,0.31073690595319947,0.4863404686253481,-0.1756035626721486,0.992656,0.340781,0.651875,0.9952731822605311,0.4553037675517865,0.5399694147087446,1.742732048034668,2.8160624504089355,-1.0733304023742676,,,,,,
cifar10|resnet18|sig|0.01|6.0|28.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,28.0,,,,SIG_0.010_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.42229220450739613,0.7926077684691546,-0.37031556396175846,0.22175009776218046,0.4199102718775687,-0.19816017411538822,0.989844,0.426875,0.5629689999999999,0.9962463506186571,0.7301543166967885,0.26609203392186853,2.507859230041504,2.1973624229431152,0.31049680709838867,,,,,,
cifar10|resnet18|sig|0.01|6.0|36.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,36.0,,,,SIG_0.010_delta=36_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.4985283120030688,0.8009402275561097,-0.3024119155530409,0.25638548458975463,0.41662782734897186,-0.16024234275921723,0.99375,0.537969,0.455781,0.9966634227721396,0.8919783122480189,0.10468511052412066,3.074165105819702,1.9616351127624512,1.112529993057251,,,,,,
cifar10|resnet18|sig|0.01|6.0|44.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,44.0,,,,SIG_0.010_delta=44_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=44_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5131948219754977,0.7431005411333238,-0.2299057191578261,0.2645099565585759,0.4067276290685027,-0.14221767250992678,0.995625,0.976094,0.019530999999999965,0.9986097594883915,0.9666342277213958,0.031975531766995635,4.619492053985596,2.403592824935913,2.2158992290496826,,,,,,
cifar10|resnet18|sig|0.01|6.0|56.0|||#1,cifar10,resnet18,sig,0.01,0,all-to-one,6.0,56.0,,,,SIG_0.010_delta=56_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.010_delta=56_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.6439004017670795,0.5500290570175439,0.09387134474953562,0.2485819371040201,0.3746222464727902,-0.1260403093687701,0.990156,0.916094,0.07406200000000007,0.9991658556930348,0.9905463645210622,0.008619491171972693,2.7841391563415527,2.282599449157715,0.5015397071838379,,,,,,
cifar10|resnet18|sig|0.05|6.0|4.0|||#1,cifar10,resnet18,sig,0.05,0,all-to-one,6.0,4.0,,,,SIG_0.050_delta=4_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.050_delta=4_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5550382424426553,0.8399875910386321,-0.28494934859597676,0.34513412101869334,0.5464064503738995,-0.20127232935520611,0.815156,0.319531,0.495625,0.915195328791881,0.21951897678298346,0.6956763520088975,2.349895477294922,1.9385120868682861,0.41138339042663574,,,,,,
cifar10|resnet18|sig|0.05|6.0|12.0|||#1,cifar10,resnet18,sig,0.05,0,all-to-one,6.0,12.0,,,,SIG_0.050_delta=12_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.050_delta=12_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.5387403269659788,0.8594078498293516,-0.32066752286337274,0.3076382034049331,0.46024620924959203,-0.15260800584465894,0.994062,0.613437,0.380625,0.9970804949256221,0.6517447518420687,0.3453357430835534,4.505818843841553,1.236987590789795,3.268831253051758,,,,,,
cifar10|resnet18|sig|0.05|6.0|20.0|||#1,cifar10,resnet18,sig,0.05,0,all-to-one,6.0,20.0,,,,SIG_0.050_delta=20_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.050_delta=20_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.4898111790878754,0.6429994986631016,-0.15318831957522616,0.27028854553714954,0.38846601570010164,-0.1181774701629521,0.999844,0.721406,0.27843799999999996,0.9998609759488392,0.8319199221465313,0.16794105380230784,2.3455393314361572,1.4975310564041138,0.8480082750320435,,,,,,
cifar10|resnet18|sig|0.05|6.0|28.0|||#1,cifar10,resnet18,sig,0.05,0,all-to-one,6.0,28.0,,,,SIG_0.050_delta=28_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.050_delta=28_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.46384607897664076,0.7138955176307737,-0.250049438654133,0.24302697949860952,0.3472825893344348,-0.10425560983582527,1.0,0.92375,0.07625000000000004,0.9998609759488392,0.9541220631169193,0.04573891283191989,4.390944957733154,1.1300208568572998,3.2609241008758545,,,,,,
cifar10|resnet18|sig|0.05|6.0|36.0|||#1,cifar10,resnet18,sig,0.05,0,all-to-one,6.0,36.0,,,,SIG_0.050_delta=36_f=6_mode=all2one_poison_seed=2333_arch=ResNet18_cifar10,SIG_0.050_delta=36_f=6_poison_seed=2333_arch=ResNet18_cifar10,0.3841543210412901,0.5240856947794014,-0.13993137373811126,0.1961706946700288,0.30596912983869573,-0.10979843516866694,1.0,0.972344,0.027656000000000014,1.0,0.9799805366328375,0.020019463367162538,2.325531005859375,1.25941801071167,1.066112995147705,,,,,,
